translationable_id,text,translationable_type,lang,source
1,الإبلاغ,App\Value,ar,Reporting
2,بصفة شخصية,App\Value,ar,As an individual
3,بالنيابة عن منظمة,App\Value,ar,On behalf of an organisation
4,غير ذلك,App\Value,ar,Other
5,نوع الإجراء,App\Value,ar,Type of Action
6,التشريعات والمعايير والقواعد: مثل الموافقة على قواعد أو معايير جديدة أو تغيير قواعد أو معايير قائمة ينبغي أن يمتثل لها الآخرون، واللوائح والاتفاقات والسياسات والصكوك الاقتصادية الجديدة وما إليها، بما في ذلك الالتزامات الطوعية.,App\Value,ar,"LEGISLATION, STANDARDS, RULES: e.g. agreeing new or changing rules or standards that others should comply with, new regulation, agreements, policies, economic instruments etc. including voluntary commitments."
7,العمل الجماهيري: تشجيع الآخرين أو تمكينهم (عن طريق التعليم والتدريب والتواصل والتوعية وبرامج تغيير السلوكيات),App\Value,ar,"WORKING WITH PEOPLE: Encouraging or enabling others (e.g., education, training, communication, awareness raising, behaviour change programmes"
8,التكنولوجيا والعمليات: التطورات التقنية الجديدة/الابتكار (مثل البحث والتطوير، والتصميم الجديد للمنتجات، واستخدام مواد وعمليات جديدة، وما إلى ذلك) وتغيير الممارسات والعمليات والإدارة البيئية والتخطيط.,App\Value,ar,"TECHNOLOGY and PROCESSES: New technical developments/innovation (e.g., research and development, new product design, new materials, processes etc.) changes in practice, operations, environmental management and planning."
9,الرصد والتحليل: جمع الأدلة المتعلقة بعمليات تصريف البلاستيك في البحار والمحيطات/الممرات المائية؟ (على سبيل المثال، الرصد والتحليل),App\Value,ar,"MONITORING and ANALYSIS: Collecting evidence around plastic discharge to the ocean/waterways? (e.g. monitoring, analysis)"
10,الاتفاقات الرسمية,App\Value,ar,Official agreements
11,تغيير السياسات أو وضعها,App\Value,ar,Policy change or development
12,الاستراتيجية الرفيعة المستوى,App\Value,ar,High-level strategy
13,التشريعات أو اللوائح,App\Value,ar,Legislation or regulations
14,الالتزامات الطوعية,App\Value,ar,Voluntary commitments
15,المعايير أو المبادئ التوجيهية الجديدة,App\Value,ar,New standard(s) or guideline(s)
16,التغيير في الضرائب/الإعانات,App\Value,ar,Change in Taxes/Subsidies
17,الإعانات/الحوافز المالية,App\Value,ar,Subsidy/financial incentives
18,الحظر,App\Value,ar,Ban(s)
19,مجموعة من التدابير تجمع بين الحوافز والهياكل الأساسية (مثل مخططات استرداد التأمين عند إعادة العبوات),App\Value,ar,Package of measures combining incentives and infrastructure (e.g. deposit reward schemes)
20,غير ذلك,App\Value,ar,Other
21,التوعية وتغيير السلوكيات,App\Value,ar,Awareness raising and Behaviour change
22,التعليم/التدريب,App\Value,ar,Education/Training
23,حلقات العمل,App\Value,ar,Workshops
24,المؤتمرات,App\Value,ar,Conferences
25,غير ذلك,App\Value,ar,Other
26,الحملات الإعلامية,App\Value,ar,Information campaign
27,حملة/برنامج لتغيير السلوكيات,App\Value,ar,Behaviour change campaign/programme
28,إشراك المجتمعات المحلية,App\Value,ar,Community Engagement
29,إشراك أصحاب المصلحة,App\Value,ar,Stakeholder Engagement
30,علم تشاركي,App\Value,ar,Citizen Science
31,مناسبة إبداعية /فنية؛ معرض,App\Value,ar,Creative/arts event; exhibition
32,غير ذلك,App\Value,ar,Other
33,وضع مناهج دراسية,App\Value,ar,Curriculum development
34,التدريب على المهارات المهنية,App\Value,ar,Professional skills training
35,البرامج التدريبية الأخرى,App\Value,ar,Other training programmes
36,التعلم مدى الحياة,App\Value,ar,Life-long learning
37,تطوير المؤسسات,App\Value,ar,Institutional development
38,غير ذلك,App\Value,ar,Other
39,مدرسة ابتدائية,App\Value,ar,Primary school
40,مدرسة ثانوية,App\Value,ar,Secondary school
41,التعليم الجامعي العالي,App\Value,ar,Tertiary higher education
42,غير ذلك,App\Value,ar,Other
43,التصميم الجديد للمنتجات,App\Value,ar,New product design
44,تغيير تقديم الخدمات,App\Value,ar,Change in service provision
45,التخطيط الاجتماعي البيئي,App\Value,ar,Environmental social planning
46,تغيير الممارسات,App\Value,ar,Change in practice
47,تغيير العمليات,App\Value,ar,Change in operations
48,معيار صناعي أو إنتاجي,App\Value,ar,Industrial or production standard
49,الإدارة المختلفة بيئياً للبيئات البرية,App\Value,ar,Different environmental management of land based environments
50,الإدارة المختلفة بيئياً للبيئات المائية,App\Value,ar,Different environmental management of aquatic environments
51,البحوث والتنمية,App\Value,ar,Research and Development
52,هياكل أساسية جديدة,App\Value,ar,New infrastructure
53,البلاستيك القابل للتحول إلى سماد,App\Value,ar,The use of compostable plastic
