translationable_id,text,translationable_type,lang,source
1,أفغانستان,App\Country,ar,Afghanistan
2,أنغولا,App\Country,ar,Angola
3,ألبانيا,App\Country,ar,Albania
4,أندورا,App\Country,ar,Andorra
5,الإمارات العربية المتحدة,App\Country,ar,United Arab Emirates
6,الأرجنتين,App\Country,ar,Argentina
7,أرمينيا,App\Country,ar,Armenia
8,أنتيغوا وبربودا,App\Country,ar,Antigua and Barbuda
9,أستراليا,App\Country,ar,Australia
10,النمسا,App\Country,ar,Austria
11,أذربيجان,App\Country,ar,Azerbaijan
12,بوروندي,App\Country,ar,Burundi
13,بلجيكا,App\Country,ar,Belgium
14,بنن,App\Country,ar,Benin
15,بوركينا فاسو,App\Country,ar,Burkina Faso
16,بنغلاديش,App\Country,ar,Bangladesh
17,بلغاريا,App\Country,ar,Bulgaria
18,البحرين,App\Country,ar,Bahrain
19,جزر البهاما,App\Country,ar,Bahamas
20,البوسنة والهرسك,App\Country,ar,Bosnia and Herzegovina
21,بيلاروس,App\Country,ar,Belarus
22,بليز,App\Country,ar,Belize
23,بوليفيا (دولة – المتعددة القوميات),App\Country,ar,Bolivia
24,البرازيل,App\Country,ar,Brazil
25,بربادوس,App\Country,ar,Barbados
26,بروني دار السلام,App\Country,ar,Brunei Darussalam
27,بوتان,App\Country,ar,Bhutan
28,بوتسوانا,App\Country,ar,Botswana
29,جمهورية أفريقيا الوسطى,App\Country,ar,Central African Republic
30,كندا,App\Country,ar,Canada
31,سويسرا,App\Country,ar,Switzerland
32,شيلي,App\Country,ar,Chile
33,الصين,App\Country,ar,China
34,كوت ديفوار,App\Country,ar,Côte d’Ivoire
35,الكاميرون,App\Country,ar,Cameroon
36,جمهورية الكونغو الديمقراطية,App\Country,ar,Democratic Republic of the Congo
37,الكونغو,App\Country,ar,Congo
38,كولومبيا,App\Country,ar,Colombia
39,جزر القمر,App\Country,ar,Comoros
40,كابو فيردي,App\Country,ar,Cape Verde
41,كوستاريكا,App\Country,ar,Costa Rica
42,كوبا,App\Country,ar,Cuba
43,قبرص,App\Country,ar,Cyprus
44,تشيكيا,App\Country,ar,Czechia
45,ألمانيا,App\Country,ar,Germany
46,جيبوتي,App\Country,ar,Djibouti
47,دومينيكا,App\Country,ar,Dominica
48,الدانمرك,App\Country,ar,Denmark
49,الجمهورية الدومينيكية,App\Country,ar,Dominican Republic
50,الجزائر,App\Country,ar,Algeria
51,إكوادور,App\Country,ar,Ecuador
52,مصر,App\Country,ar,Egypt
53,إريتريا,App\Country,ar,Eritrea
54,إسبانيا,App\Country,ar,Spain
55,إستونيا,App\Country,ar,Estonia
56,إثيوبيا,App\Country,ar,Ethiopia
57,فنلندا,App\Country,ar,Finland
58,فيجي,App\Country,ar,Fiji
59,فرنسا,App\Country,ar,France
60,ميكرونيزيا (ولايات - الموحدة),App\Country,ar,Micronesia (Federated States of)
